REGIÃO,MUNICÍPIO,POPULAÇÃO,ELEITORADO,MULHERES,HOMENS,DOMICÍLIOS,DISTRITOS,ANIVERSÁRIO,TRANSFERÊNCIA,VALOR BOLSA FAMILIA,VALOR BPC,VALOR AUXÍLIO GÁS,VALOR SEGURO DESEMPREGO,BENEFICIADOS BOLSA FAMÍLIA,VALOR MÉDIO BOLSA FAMILIA,BENEFIADOS AUXÍLIO GÁS,BENEFICIADOS BPC,DEFICIENTES BPC,IDOSOS BPC,EQUIPES SAÚDE BUCAL,REALIZAÇÃO PRÉ NATAL SUS,EXAMES COLO DO UTERO,MAMOGRAFIAS,BENEFICIADOS FARMÁCIA POPULAR,BENEFICADOS PÉ-DE-MEIA,LEI PAULO GUSTAVO,VALOR PNATE,VALOR PNLD,EMPREGOS FORMAIS,NOVOS EMPREGOS NO MÊS,PLANO SAFRA,INVESTIMENTO PRONAF,MORADIAS MCMV OGU - Faixa 1 ESSES DADOS O IDEAL É A OUTRA PLANILHA QUE ENVOLVE TODAS AS ENTREGAS MCMV,LUZ PARA TODOS,PAC SELEÇÃO,PAC SELEÇÕES - EDUCAÇÃO CRECHE/ESCOLA DE EDUCAÇÃO INFANTIL,PAC SELEÇÕES - EDUCAÇÃO ESCOLA EM TEMPO INTEGRAL,PAC SELEÇÕES - ONIBUS ESCOLAR,PAC UBS,PAC SELEÇÕES - UNIDADE ODONTOLOGICA MOVEL,CENTRAL SAMU,PAC SELEÇÕES CAPS,PAC SELEÇÕES - SAMU,PAC SELEÇÕES - CIDADES SUSTENTÁVEIS ESGOTAMENTO SANITÁRIO,ABASTAECIMENTO DE ÁGUA URBANO,GESTÃO DE RESÍDUOS SÓLIDOS,PAC SELEÇÕES CEU CULTURA,PAC SELEÇÕES - ESPAÇO ESPORTIVO COMUNITÁRIO,POLICLINICA,MATERNIDADE COM CENTRO DE PARTO NORMAL,CENTRO COUNITÁRIO PELA VIDA ,COMPLEXO FERROVIÁRIO,URBANIZAÇÃO DE FAVELAS,PREVENÇÃO DE GRANDES DESASTRES,MOBILIDADE,REGULARIZAÇÃO FUNDIÁRIA,OFICINA ORTOPÉDICA
BOLSÃO,PARANAÍBA,42543,30756,50.5,49.5,20136,6,2025-07-04,42220000,9670000,11690000,93580,5500000,2480,650.27,286,1850,1160,688,11,501,0,27,2350,482,402520,72800,449950,9610,870,100550000,2070000,60,0.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
SUL FRONTEIRA,PARANHOS,13323,9190,49.43,50.57,4310,1,2025-11-17,19880000,9350000,3340000,335080,202670,1950,807.08,1040,548,329,219,3,201,0,0,431,359,161130,174520,247760,569,70,6730000,1760000,8,0.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
NORTE,PEDRO GOMES,6974,6001,49.76,50.24,3894,1,2025-11-11,8630000,3380000,2440000,156060,476650,838,711.47,486,409,234,175,1,79,0,0,667,128,93510,39960,113950,1090,100,62860000,823940,21,0.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
SUL FRONTEIRA,PONTA PORÃ,97577,67427,51.26,48.74,37658,3,2025-07-18,67580000,40330000,48310000,266700,5180000,9650,698.49,820,7950,2910,5040,19,1810,0,0,340,2210,864340,328420,1470000,14870,53,273310000,9090000,186,0.0,8.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,1.0
SUDOESTE,PORTO MURTINHO,12864,8458,48.74,51.26,5656,1,2025-06-13,21410000,6430000,4950000,78140,1730000,1510,705.66,243,814,341,473,4,183,0,0,619,320,199460,49970,270950,2390,20,105550000,22000,7,1.0,5.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
CAMPO GRANDE,RIBAS DO RIO PARDO,23996,14889,48.8,51.20,10888,2,2025-03-19,25970000,4440000,3030000,46690,4030000,1190,620.0,144,501,244,257,2,405,0,0,14,299,262720,99400,370300,12440,244,131240000,95506,25,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
GRANDE DOURADOS,RIO BRILHANTE,39936,25475,49.73,50.27,14825,2,2025-09-26,35170000,7780000,7210000,111720,4440000,1920,672.1,344,1190,684,508,9,613,0,0,539,445,382610,105470,428600,11430,1410,152530000,3780000,0,0.0,6.0,1.0,1.0,1.0,1.0,,,,,1,1.0,,,,,,,,,,,,
CAMPO GRANDE,RIO NEGRO,4933,4086,49.41,50.59,2673,2,2025-05-09,8600000,1380000,903250,6220,228430,342,662.5,19,152,102,50,2,54,0,0,333,84,61880,29640,74000,719,0,26410000,466650,11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
NORTE,RIO VERDE DE MATO GROSSO,20393,13611,49.79,50.21,9934,2,2025-12-16,23960000,7830000,6980000,136410,1250000,1870,692.05,422,1150,535,612,8,248,0,0,2160,301,210040,0,209280,3310,19,90980000,668510,215,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
CAMPO GRANDE,ROCHEDO,5407,5050,49.22,50.78,2922,2,2025-11-23,10020000,2000000,1630000,40140,230700,495,683.7,124,264,99,165,2,77,0,0,0,86,68660,1510,90250,1840,31,11980000,177420,9,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
